DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
21;352;21352;Longeault-Pluvault;21;486;21486;Pluvault;607;13;620
21;183;21183;Collonges-et-Premières;21;507;21507;Premières;143;1;144
21;623;21623;Tart;21;621;21621;Tart-l'Abbaye;192;9;201
21;623;21623;Tart;21;623;21623;Tart-le-Haut;1341;22;1363
21;433;21433;Montigny-Mornay-Villeneuve-sur-Vingeanne;21;697;21697;La Villeneuve-sur-Vingeanne;76;2;78
22;055;22055;Binic-Étables-sur-Mer;22;007;22007;Binic;3836;121;3957
22;206;22206;Châtelaudren-Plouagat;22;038;22038;Châtelaudren;979;14;993
22;046;22046;Le Mené;22;046;22046;Collinée;987;21;1008
22;084;22084;Jugon-les-Lacs;22;051;22051;Dolo;706;23;729
22;055;22055;Binic-Étables-sur-Mer;22;055;22055;Étables-sur-Mer;3184;91;3275
22;183;22183;Plémet;22;058;22058;La Ferrière;437;7;444
22;046;22046;Le Mené;22;066;22066;Le Gouray;1289;13;1302
22;264;22264;La Roche-Jaudy;22;078;22078;Hengoat;242;4;246
22;203;22203;Plœuc-L'Hermitage;22;080;22080;L'Hermitage-Lorge;693;12;705
22;084;22084;Jugon-les-Lacs;22;084;22084;Jugon-les-Lacs;1822;28;1850
22;093;22093;Lamballe-Armor;22;093;22093;Lamballe;12742;372;13114
22;219;22219;Plouguenast-Langast;22;100;22100;Langast;565;15;580
22;046;22046;Le Mené;22;102;22102;Langourla;536;9;545
22;107;22107;Bon Repos sur Blavet;22;107;22107;Laniscat;750;23;773
22;050;22050;Dinan;22;123;22123;Léhon;3147;121;3268
22;093;22093;Lamballe-Armor;22;151;22151;Meslin;898;26;924
22;093;22093;Lamballe-Armor;22;154;22154;Morieux;1058;31;1089
22;158;22158;Guerlédan;22;158;22158;Mûr-de-Bretagne;2088;53;2141
22;107;22107;Bon Repos sur Blavet;22;167;22167;Perret;170;5;175
22;093;22093;Lamballe-Armor;22;173;22173;Planguenoual;2213;65;2278
22;183;22183;Plémet;22;183;22183;Plémet;3314;76;3390
22;046;22046;Le Mené;22;191;22191;Plessala;1744;34;1778
22;209;22209;Beaussais-sur-Mer;22;192;22192;Plessix-Balisson;81;3;84
22;203;22203;Plœuc-L'Hermitage;22;203;22203;Plœuc-sur-Lié;3424;58;3482
22;206;22206;Châtelaudren-Plouagat;22;206;22206;Plouagat;2989;49;3038
22;209;22209;Beaussais-sur-Mer;22;209;22209;Ploubalay;3926;59;3985
22;219;22219;Plouguenast-Langast;22;219;22219;Plouguenast;1825;39;1864
22;264;22264;La Roche-Jaudy;22;247;22247;Pommerit-Jaudy;1181;636;1817
22;264;22264;La Roche-Jaudy;22;253;22253;Pouldouran;156;1;157
22;264;22264;La Roche-Jaudy;22;264;22264;La Roche-Derrien;1064;20;1084
22;107;22107;Bon Repos sur Blavet;22;290;22290;Saint-Gelven;317;6;323
22;046;22046;Le Mené;22;292;22292;Saint-Gilles-du-Mené;449;14;463
22;046;22046;Le Mené;22;297;22297;Saint-Gouéno;686;14;700
22;158;22158;Guerlédan;22;298;22298;Saint-Guen;440;13;453
22;046;22046;Le Mené;22;303;22303;Saint-Jacut-du-Mené;729;10;739
22;209;22209;Beaussais-sur-Mer;22;357;22357;Trégon;372;7;379
23;093;23093;Gouzon;23;094;23094;Gouzougnat;110;4;114
23;189;23189;Saint-Dizier-Masbaraud;23;126;23126;Masbaraud-Mérignat;348;9;357
23;149;23149;Parsac-Rimondeix;23;149;23149;Parsac;629;5;634
23;090;23090;Gentioux-Pigerolles;23;153;23153;Pigerolles;66;1;67
23;149;23149;Parsac-Rimondeix;23;161;23161;Rimondeix;84;0;84
23;189;23189;Saint-Dizier-Masbaraud;23;189;23189;Saint-Dizier-Leyrenne;786;11;797
24;053;24053;Boulazac Isle Manoire;24;013;24013;Atur;1918;60;1978
24;026;24026;Bassillac et Auberoche;24;026;24026;Bassillac;1868;42;1910
24;028;24028;Beaumontois en Périgord;24;028;24028;Beaumont-du-Périgord;971;19;990
24;253;24253;Mareuil en Périgord;24;033;24033;Beaussac;156;2;158
24;035;24035;Pays de Belvès;24;035;24035;Belvès;1204;38;1242
24;026;24026;Bassillac et Auberoche;24;044;24044;Blis-et-Born;462;3;465
24;147;24147;Cubjac-Auvézère-Val d'Ans;24;047;24047;La Boissière-d'Ans;225;1;226
24;053;24053;Boulazac Isle Manoire;24;053;24053;Boulazac;7038;222;7260
24;064;24064;Brantôme en Périgord;24;064;24064;Brantôme;2088;36;2124
